Vernier Format 2
47ohm.txt 8/2/2022 0:39:24
in bag1
Time	Potential	Current	
8.3	1.120	0.0222	
8.4	1.111	0.0222	
8.5	1.111	0.0222	
8.6	1.111	0.0222	
8.7	1.106	0.0222	
8.8	1.120	0.0222	
8.9	1.120	0.0222	
9.0	1.106	0.0222	
9.1	1.111	0.0222	
9.2	1.120	0.0222	
9.3	1.111	0.0219	
9.4	1.111	0.0222	
9.5	1.106	0.0222	
9.6	1.111	0.0219	
9.7	1.111	0.0222	
9.8	1.106	0.0219	
9.9	1.120	0.0219	
10.0	1.111	0.0219	
Vernier Format 2
47ohm.txt 8/2/2022 0:39:24
opnair2
Time	Potential	Current	
T	P	C	
min	V	A	

0.0	1.477	-0.0008	
0.1	1.462	-0.0014	
0.2	0.876	0.0169	
0.3	0.969	0.0188	
0.4	1.027	0.0200	
0.5	1.062	0.0210	
0.6	1.071	0.0210	
0.7	1.086	0.0213	
0.8	1.091	0.0219	
0.9	1.111	0.0216	
1.0	1.115	0.0219	
1.1	1.120	0.0222	
1.2	1.120	0.0222	
1.3	1.120	0.0222	
1.4	1.130	0.0222	
1.5	1.120	0.0222	
1.6	1.135	0.0225	
1.7	1.135	0.0225	
1.8	1.135	0.0225	
1.9	1.140	0.0225	
2.0	1.140	0.0225	
2.1	1.135	0.0225	
2.2	1.140	0.0225	
2.3	1.140	0.0225	
2.4	1.135	0.0225	
2.5	1.145	0.0225	
2.6	1.145	0.0225	
2.7	1.150	0.0229	
2.8	1.150	0.0225	
2.9	1.145	0.0229	
3.0	1.150	0.0229	
3.1	1.150	0.0229	
3.2	1.140	0.0225	
3.3	1.154	0.0225	
3.4	1.154	0.0229	
3.5	1.150	0.0229	
3.6	1.140	0.0229	
3.7	1.150	0.0229	
3.8	1.154	0.0229	
3.9	1.159	0.0232	
4.0	1.154	0.0229	
4.1	1.150	0.0229	
4.2	1.140	0.0229	
4.3	1.154	0.0229	
4.4	1.140	0.0229	
4.5	1.154	0.0229	
4.6	1.145	0.0229	
4.7	1.140	0.0229	
4.8	1.150	0.0229	
4.9	1.150	0.0225	
5.0	1.135	0.0225	
5.1	1.150	0.0229	
5.2	1.145	0.0229	
5.3	1.145	0.0225	
5.4	1.145	0.0225	
5.5	1.140	0.0225	
5.6	1.140	0.0225	
5.7	1.140	0.0225	
5.8	1.150	0.0225	
5.9	1.145	0.0225	
6.0	1.145	0.0225	
6.1	1.135	0.0225	
6.2	1.140	0.0225	
6.3	1.135	0.0222	
6.4	1.140	0.0225	
6.5	1.140	0.0225	
6.6	1.130	0.0225	
6.7	1.140	0.0225	
6.8	1.140	0.0225	
6.9	1.140	0.0222	
7.0	1.140	0.0225	
7.1	1.135	0.0225	
7.2	1.140	0.0225	
7.3	1.140	0.0225	
7.4	1.120	0.0225	
7.5	1.135	0.0222	
7.6	1.135	0.0222	
7.7	1.125	0.0222	
7.8	1.120	0.0222	
7.9	1.120	0.0222	
8.0	1.135	0.0225	
8.1	1.135	0.0222	
8.2	1.130	0.0222	
8.3	1.130	0.0222	
8.4	1.125	0.0225	
8.5	1.130	0.0222	
8.6	1.120	0.0222	
8.7	1.130	0.0222	
8.8	1.125	0.0222	
8.9	1.120	0.0222	
9.0	1.130	0.0222	
9.1	1.125	0.0222	
9.2	1.130	0.0222	
9.3	1.130	0.0222	
9.4	1.125	0.0222	
9.5	1.111	0.0222	
9.6	1.111	0.0222	
9.7	1.111	0.0222	
9.8	1.111	0.0222	
9.9	1.115	0.0222	
10.0	1.120	0.0222	

Vernier Format 2
47ohm.txt 8/2/2022 0:39:25
Run 6
Time	Potential	Current	
T	P	C	
min	V	A	

0.0	1.458	-0.0008	
0.1	1.467	-0.0014	
0.2	1.106	0.0219	
0.3	1.145	0.0232	
0.4	1.174	0.0235	
0.5	1.184	0.0235	
0.6	1.179	0.0235	
0.7	1.179	0.0235	
0.8	1.179	0.0235	
0.9	1.159	0.0232	
1.0	1.164	0.0232	
1.1	1.159	0.0232	
1.2	1.154	0.0229	
1.3	1.140	0.0229	
1.4	1.145	0.0229	
1.5	1.145	0.0229	
1.6	1.150	0.0225	
1.7	1.140	0.0225	
1.8	1.150	0.0229	
1.9	1.135	0.0229	
2.0	1.140	0.0225	
2.1	1.140	0.0225	
2.2	1.140	0.0229	
2.3	1.145	0.0225	
2.4	1.140	0.0222	
2.5	1.140	0.0229	
2.6	1.135	0.0225	
2.7	1.140	0.0225	
2.8	1.140	0.0225	
2.9	1.125	0.0225	
3.0	1.140	0.0225	
3.1	1.140	0.0225	
3.2	1.135	0.0225	
3.3	1.125	0.0225	
3.4	1.140	0.0225	
3.5	1.140	0.0225	
3.6	1.125	0.0225	
3.7	1.140	0.0225	
3.8	1.125	0.0225	
3.9	1.140	0.0225	
4.0	1.135	0.0225	
4.1	1.125	0.0225	
4.2	1.135	0.0225	
4.3	1.125	0.0225	
4.4	1.125	0.0225	
4.5	1.135	0.0222	
4.6	1.120	0.0225	
4.7	1.135	0.0225	
4.8	1.135	0.0225	
4.9	1.130	0.0225	
5.0	1.140	0.0225	
5.1	1.135	0.0225	
5.2	1.125	0.0225	
5.3	1.140	0.0222	
5.4	1.125	0.0225	
5.5	1.130	0.0225	
5.6	1.130	0.0222	
5.7	1.120	0.0222	
5.8	1.125	0.0222	
5.9	1.140	0.0225	
6.0	1.135	0.0222	
6.1	1.135	0.0222	
6.2	1.130	0.0222	
6.3	1.130	0.0225	
6.4	1.125	0.0225	
6.5	1.130	0.0225	
6.6	1.130	0.0225	
6.7	1.120	0.0222	
6.8	1.130	0.0222	
6.9	1.135	0.0222	
7.0	1.115	0.0222	
7.1	1.125	0.0222	
7.2	1.125	0.0225	
7.3	1.125	0.0222	
7.4	1.120	0.0222	
7.5	1.130	0.0222	
7.6	1.125	0.0222	
7.7	1.120	0.0222	
7.8	1.125	0.0222	
7.9	1.115	0.0222	
8.0	1.120	0.0222	
8.1	1.125	0.0222	
8.2	1.106	0.0225	
8.3	1.125	0.0222	
8.4	1.125	0.0222	
8.5	1.125	0.0222	
8.6	1.120	0.0222	
8.7	1.120	0.0222	
8.8	1.120	0.0222	
8.9	1.120	0.0222	
9.0	1.120	0.0222	
9.1	1.111	0.0222	
9.2	1.120	0.0222	
9.3	1.120	0.0222	
9.4	1.120	0.0222	
9.5	1.120	0.0222	
9.6	1.120	0.0222	
9.7	1.120	0.0222	
9.8	1.120	0.0222	
9.9	1.120	0.0222	
10.0	1.115	0.0222	
			
Vernier Format 2
47ohm.txt 8/2/2022 0:39:25
Run 7
Time	Potential	Current	
T	P	C	
min	V	A	

			
			
